id,village,rus_village,lat,lon,lang,aff,family,standard,default_level,dialect_toplevel,dialect_toplevel_cyr,dialect_nt1,dialect_nt1_cyr,dialect_nt2,dialect_nt2_cyr,dialect_nt3,dialect_nt3_cyr,village_dialect,gltc_lang,lang_col,aff_col,dataset_version
8,Alak,Алак,42.6092,46.1972,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Unqratl,ункратльский,NA,NA,Alak,avar1256,#009999,#009999,2025-03-20
9,Albaniya,Албания,42.2863,46.3985,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Albaniya,avar1256,#009999,#009999,2025-03-20
11,Amishta,Амишта,42.62967,46.552971,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Amishta,avar1256,#009999,#009999,2025-03-20
13,Amushchi Bolshoe,Амущи Большое,42.63752,46.4864,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Amushchi Bolshoe,avar1256,#009999,#009999,2025-03-20
14,Amushchi Maloe,Амущи Малое,42.650445,46.487815,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Amushchi Maloe,avar1256,#009999,#009999,2025-03-20
15,Anada,Анада,42.17306,46.36917,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Anada,avar1256,#009999,#009999,2025-03-20
16,Andykh,Андых,42.5119,46.5939,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Andykh,avar1256,#009999,#009999,2025-03-20
17,Ansalta,Ансалта,42.6939,46.1147,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Unqratl,ункратльский,NA,NA,Ansalta,avar1256,#009999,#009999,2025-03-20
19,Antsukh,Анцух,42.1903743,46.3374704,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsuq,анцухский,NA,NA,Antsukh,avar1256,#009999,#009999,2025-03-20
24,Argvani,Аргвани,42.8128,46.5792,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Salataw,салатавский,NA,NA,Argvani,avar1256,#009999,#009999,2025-03-20
30,Assab,Ассаб,42.471596,46.492475,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Baqluq,батлухский,Assab,ассабский,NA,NA,Assab,avar1256,#009999,#009999,2025-03-20
32,Akhalchi,Ахалчи,42.594957,46.631744,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Akhalchi,avar1256,#009999,#009999,2025-03-20
41,Baitl,Баитль,42.546452,46.676472,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Baitl,avar1256,#009999,#009999,2025-03-20
45,Barnab,Барнаб,42.07964,46.37894,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsros-Unhada,анцрос-унхадинский,NA,NA,Barnab,avar1256,#009999,#009999,2025-03-20
50,Bezhuda,Бежуда,42.200348,46.479175,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Bezhuda,avar1256,#009999,#009999,2025-03-20
52,Betelda,Бетельда,41.95077,46.54164,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Southern Antlratl,южноанкратльский,Tomur,томурский,NA,NA,Betelda,avar1256,#009999,#009999,2025-03-20
57,Bochokh,Бочох,42.22,46.28472,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsuq,анцухский,NA,NA,Bochokh,avar1256,#009999,#009999,2025-03-20
60,Busutli,Бусутли,42.245017,46.362562,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Busutli,avar1256,#009999,#009999,2025-03-20
63,Verkhnee Inkho,Верхнее Инхо,42.70659,46.50415,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Salataw,салатавский,NA,NA,Verkhnee Inkho,avar1256,#009999,#009999,2025-03-20
64,Verkhnee Khvarshini,Верхнее Хваршини,42.4079791,45.842582,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Unqratl,ункратльский,NA,NA,Verkhnee Khvarshini,avar1256,#009999,#009999,2025-03-20
65,Verkhnie Akhalchi,Верхние Ахалчи,42.59911,46.63581,Avar,Avar-Andic,East Caucasian,NA,Avar,NA,NA,NA,NA,NA,NA,NA,NA,Verkhnie Akhalchi,avar1256,#009999,#009999,2025-03-20
66,Verkhniy Aradirikh,Верхний Арадирих,42.8148532,46.5940654,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Verkhniy Aradirikh,avar1256,#009999,#009999,2025-03-20
67,Verkhniy Batlukh,Верхний Батлух,42.496276,46.502217,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Baqluq,батлухский,Baqluq proper,собственно батлухский,NA,NA,Verkhniy Batlukh,avar1256,#009999,#009999,2025-03-20
70,Verkhniy Kolob,Верхний Колоб,42.4265358,46.4888366,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Qahib,кахибский,NA,NA,NA,NA,Verkhniy Kolob,avar1256,#009999,#009999,2025-03-20
71,Verkhniy Togokh,Верхний Тогох,42.4265358,46.4888366,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,North-Eastern Avar,северовосточноаварский,Teletli,телетлинский,Verkhniy Togokh,avar1256,#009999,#009999,2025-03-20
75,Gagar,Гагар,41.999252,46.592744,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Southern Antlratl,южноанкратльский,Buhnada,бухнадинский,NA,NA,Gagar,avar1256,#009999,#009999,2025-03-20
76,Gadari,Гадари,42.807303,46.621237,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Salataw,салатавский,NA,NA,Gadari,avar1256,#009999,#009999,2025-03-20
78,Gakko,Гакко,42.47024,45.882,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Unqratl,ункратльский,NA,NA,Gakko,avar1256,#009999,#009999,2025-03-20
80,Garakolob,Гараколоб,42.048887,46.455015,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Southern Antlratl,южноанкратльский,Buhnada,бухнадинский,NA,NA,Garakolob,avar1256,#009999,#009999,2025-03-20
82,Gatsalukh,Гацалух,42.59298,46.64949,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Gatsalukh,avar1256,#009999,#009999,2025-03-20
83,Gvedysh,Гведыш,42.13591,46.41437,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsros-Unhada,анцрос-унхадинский,NA,NA,Gvedysh,avar1256,#009999,#009999,2025-03-20
84,Gebguda,Гебгуда,42.190026,46.354817,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Gebguda,avar1256,#009999,#009999,2025-03-20
85,Gendukh,Гендух,42.13476,46.403084,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsros-Unhada,анцрос-унхадинский,NA,NA,Gendukh,avar1256,#009999,#009999,2025-03-20
86,Genekolob,Генеколоб,41.916992,46.600199,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Southern Antlratl,южноанкратльский,Tomur,томурский,NA,NA,Genekolob,avar1256,#009999,#009999,2025-03-20
